Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
314.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3279,3,2024-03-12,2024-03-15
315.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5726,3,2024-01-27,2024-01-30
316.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5135,2,2024-01-15,2024-01-17
317.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6774,1,2024-01-08,2024-01-09
318.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6481,2,2024-02-14,2024-02-16
319.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7984,2,2024-03-27,2024-03-29
320.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3407,3,2024-03-19,2024-03-22
321.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3448,3,2024-03-12,2024-03-15
322.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5435,3,2024-03-28,2024-03-31
323.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7899,2,2024-03-01,2024-03-03
324.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7385,2,2024-03-11,2024-03-13
325.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3983,3,2024-03-16,2024-03-19
326.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5546,3,2024-02-15,2024-02-18
327.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4794,2,2024-01-14,2024-01-16
328.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7711,1,2024-01-02,2024-01-03
099.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,347,0,2024-03-14,2024-03-14
100.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,600,0,2024-03-29,2024-03-29
101.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,738,0,2024-02-23,2024-02-23
102.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,982,0,2024-01-04,2024-01-04
103.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,588,0,2024-03-23,2024-03-23
104.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,344,0,2024-02-19,2024-02-19
106.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,444,0,2024-01-15,2024-01-15
107.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,696,0,2024-03-19,2024-03-19
108.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,403,0,2024-03-21,2024-03-21
109.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,540,0,2024-02-12,2024-02-12
110.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,597,0,2024-02-04,2024-02-04
111.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,894,0,2024-03-13,2024-03-13
112.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,588,0,2024-04-04,2024-04-04
113.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,593,0,2024-03-12,2024-03-12
114.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,608,0,2024-01-04,2024-01-04
115.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,412,0,2024-02-01,2024-02-01
116.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,730,0,2024-01-16,2024-01-16
117.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,888,0,2024-03-17,2024-03-17
118.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,718,0,2024-02-16,2024-02-16
119.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,367,0,2024-02-26,2024-02-26
120.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,451,0,2024-03-16,2024-03-16
121.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,954,0,2024-02-29,2024-02-29
122.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,731,0,2024-02-18,2024-02-18
123.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,656,0,2024-02-08,2024-02-08
124.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,532,0,2024-03-23,2024-03-23
125.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,405,0,2024-01-26,2024-01-26
126.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,342,0,2024-02-14,2024-02-14
127.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,990,0,2024-01-24,2024-01-24
128.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,698,0,2024-02-07,2024-02-07
129.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,944,0,2024-04-05,2024-04-05
130.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,677,0,2024-02-22,2024-02-22
214.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1799,2,2024-02-02,2024-02-04
215.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2114,1,2024-03-05,2024-03-06
216.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2256,2,2024-01-24,2024-01-26
217.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2610,2,2024-03-25,2024-03-27
218.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2946,1,2024-02-20,2024-02-21
219.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1020,1,2024-04-07,2024-04-08
220.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1135,1,2024-03-09,2024-03-10
221.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2278,1,2024-01-15,2024-01-16
222.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1465,2,2024-02-03,2024-02-05
223.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2333,2,2024-01-30,2024-02-01
224.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2344,1,2024-04-06,2024-04-07
225.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1404,1,2024-03-13,2024-03-14
226.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2761,1,2024-01-05,2024-01-06
227.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2322,1,2024-03-21,2024-03-22
228.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1854,1,2024-01-09,2024-01-10
229.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1066,1,2024-03-08,2024-03-09
230.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1852,2,2024-01-22,2024-01-24
231.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1792,1,2024-01-24,2024-01-25
232.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1354,1,2024-01-09,2024-01-10
233.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2596,1,2024-01-08,2024-01-09
234.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1281,2,2024-03-16,2024-03-18
235.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1839,2,2024-04-03,2024-04-05
236.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2778,1,2024-01-11,2024-01-12
237.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2639,2,2024-03-29,2024-03-31
238.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2237,1,2024-03-05,2024-03-06
239.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2639,1,2024-01-28,2024-01-29
240.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1881,2,2024-02-26,2024-02-28
241.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2241,1,2024-02-05,2024-02-06
242.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2519,1,2024-01-02,2024-01-03
243.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2178,1,2024-04-10,2024-04-11
244.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2580,2,2024-04-06,2024-04-08
245.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2751,1,2024-01-26,2024-01-27
246.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1604,2,2024-01-21,2024-01-23
247.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2597,1,2024-01-21,2024-01-22
248.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1637,1,2024-01-26,2024-01-27
249.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2680,1,2024-03-09,2024-03-10
250.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1190,2,2024-03-21,2024-03-23
251.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2628,1,2024-01-08,2024-01-09
252.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2094,1,2024-03-16,2024-03-17
253.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1088,2,2024-03-31,2024-04-02
254.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1089,1,2024-02-14,2024-02-15
255.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2653,2,2024-01-08,2024-01-10
066.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,705,0,2024-02-13,2024-02-13
067.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,420,0,2024-03-04,2024-03-04
068.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,520,0,2024-01-21,2024-01-21
069.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,792,0,2024-02-01,2024-02-01
070.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,843,0,2024-02-12,2024-02-12
071.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,656,0,2024-02-18,2024-02-18
072.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,477,0,2024-02-06,2024-02-06
073.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,569,0,2024-02-13,2024-02-13
074.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,882,0,2024-01-14,2024-01-14
075.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,314,0,2024-01-01,2024-01-01
076.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,853,0,2024-02-16,2024-02-16
077.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,381,0,2024-03-10,2024-03-10
078.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,817,0,2024-03-28,2024-03-28
079.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,539,0,2024-01-08,2024-01-08
080.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,308,0,2024-01-20,2024-01-20
081.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,421,0,2024-03-14,2024-03-14
082.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,345,0,2024-04-08,2024-04-08
083.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,560,0,2024-01-22,2024-01-22
084.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,525,0,2024-02-15,2024-02-15
085.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,622,0,2024-02-05,2024-02-05
086.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,608,0,2024-02-08,2024-02-08
087.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,575,0,2024-02-17,2024-02-17
088.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,357,0,2024-03-03,2024-03-03
089.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,435,0,2024-02-25,2024-02-25
090.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,899,0,2024-03-15,2024-03-15
091.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,826,0,2024-02-16,2024-02-16
092.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,345,0,2024-04-05,2024-04-05
093.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,497,0,2024-01-21,2024-01-21
094.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,550,0,2024-02-29,2024-02-29
095.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,474,0,2024-04-06,2024-04-06
096.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,788,0,2024-04-07,2024-04-07
173.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1004,2,2024-03-08,2024-03-10
174.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1636,1,2024-01-01,2024-01-02
175.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1279,2,2024-03-30,2024-04-01
176.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2761,1,2024-01-05,2024-01-06
177.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2858,2,2024-02-21,2024-02-23
178.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1772,2,2024-02-26,2024-02-28
179.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1260,1,2024-02-25,2024-02-26
180.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1663,2,2024-02-07,2024-02-09
181.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1152,2,2024-03-31,2024-04-02
182.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1312,2,2024-01-01,2024-01-03
183.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2554,2,2024-01-25,2024-01-27
184.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2753,2,2024-03-10,2024-03-12
185.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1370,2,2024-01-13,2024-01-15
186.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2157,1,2024-03-18,2024-03-19
187.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2889,1,2024-03-15,2024-03-16
188.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1451,1,2024-01-07,2024-01-08
189.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1122,2,2024-02-04,2024-02-06
190.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2604,2,2024-02-23,2024-02-25
191.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2745,1,2024-02-12,2024-02-13
192.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1106,1,2024-03-10,2024-03-11
193.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2548,1,2024-01-21,2024-01-22
194.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2350,2,2024-01-15,2024-01-17
195.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2230,1,2024-02-14,2024-02-15
196.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2059,2,2024-03-19,2024-03-21
197.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1482,2,2024-01-18,2024-01-20
198.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2762,1,2024-02-04,2024-02-05
199.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1396,1,2024-01-25,2024-01-26
200.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2559,2,2024-03-16,2024-03-18
201.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2681,2,2024-02-16,2024-02-18
202.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2912,2,2024-03-14,2024-03-16
203.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1767,2,2024-03-01,2024-03-03
204.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2198,2,2024-03-16,2024-03-18
205.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2799,2,2024-01-22,2024-01-24
206.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1058,1,2024-01-12,2024-01-13
207.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2266,2,2024-04-01,2024-04-03
208.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1059,2,2024-01-01,2024-01-03
209.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1296,1,2024-01-26,2024-01-27
210.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1682,2,2024-03-16,2024-03-18
032.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,607,0,2024-03-28,2024-03-28
033.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,868,0,2024-01-01,2024-01-01
034.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,430,0,2024-01-11,2024-01-11
035.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,522,0,2024-01-24,2024-01-24
036.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,419,0,2024-01-01,2024-01-01
037.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,844,0,2024-02-11,2024-02-11
038.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,304,0,2024-02-01,2024-02-01
039.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,314,0,2024-03-02,2024-03-02
040.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,549,0,2024-02-19,2024-02-19
041.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,304,0,2024-02-16,2024-02-16
042.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,379,0,2024-04-02,2024-04-02
043.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,910,0,2024-01-10,2024-01-10
044.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,976,0,2024-02-21,2024-02-21
045.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,546,0,2024-03-31,2024-03-31
046.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,545,0,2024-04-03,2024-04-03
047.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,656,0,2024-02-03,2024-02-03
048.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,394,0,2024-01-04,2024-01-04
049.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,729,0,2024-01-29,2024-01-29
050.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,367,0,2024-03-03,2024-03-03
051.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,345,0,2024-01-05,2024-01-05
052.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,703,0,2024-01-07,2024-01-07
053.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,975,0,2024-01-05,2024-01-05
054.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,407,0,2024-02-05,2024-02-05
055.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,920,0,2024-03-16,2024-03-16
056.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,492,0,2024-01-04,2024-01-04
057.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,708,0,2024-01-08,2024-01-08
058.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,657,0,2024-03-18,2024-03-18
059.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,827,0,2024-03-19,2024-03-19
060.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,564,0,2024-03-10,2024-03-10
061.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,649,0,2024-01-04,2024-01-04
062.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,675,0,2024-02-09,2024-02-09
063.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,680,0,2024-02-16,2024-02-16
064.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,312,0,2024-04-09,2024-04-09
065.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,588,0,2024-03-07,2024-03-07
133.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2778,1,2024-03-15,2024-03-16
134.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2445,2,2024-02-14,2024-02-16
135.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1557,2,2024-04-05,2024-04-07
136.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1855,1,2024-04-09,2024-04-10
137.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1764,1,2024-02-20,2024-02-21
138.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2965,1,2024-01-21,2024-01-22
139.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2534,1,2024-03-26,2024-03-27
140.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2383,1,2024-02-07,2024-02-08
141.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1979,1,2024-03-26,2024-03-27
142.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2432,2,2024-01-22,2024-01-24
143.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2489,1,2024-01-11,2024-01-12
144.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2947,1,2024-03-08,2024-03-09
145.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1378,1,2024-02-19,2024-02-20
146.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1229,2,2024-02-07,2024-02-09
147.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1647,2,2024-01-30,2024-02-01
148.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2768,2,2024-03-29,2024-03-31
149.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1521,1,2024-01-08,2024-01-09
150.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2646,1,2024-03-30,2024-03-31
151.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2496,1,2024-01-21,2024-01-22
152.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2207,1,2024-01-23,2024-01-24
153.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2105,2,2024-03-05,2024-03-07
154.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2494,2,2024-01-10,2024-01-12
155.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2409,2,2024-01-23,2024-01-25
156.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2199,1,2024-02-29,2024-03-01
157.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1635,1,2024-01-05,2024-01-06
158.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1918,2,2024-02-25,2024-02-27
159.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1828,1,2024-02-02,2024-02-03
160.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1320,2,2024-03-12,2024-03-14
161.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1344,1,2024-04-03,2024-04-04
162.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2816,1,2024-02-15,2024-02-16
163.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2218,1,2024-01-20,2024-01-21
164.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1048,1,2024-03-12,2024-03-13
165.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2277,1,2024-03-16,2024-03-17
166.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2950,1,2024-01-16,2024-01-17
167.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2889,2,2024-04-08,2024-04-10
168.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2670,1,2024-03-26,2024-03-27
169.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1105,2,2024-01-14,2024-01-16
256.bmp,A50,Stator fault,50,Component Replacement,Resolved,3253,1,2024-01-04,2024-01-05
257.bmp,A50,Stator fault,50,Component Replacement,Resolved,6007,2,2024-01-20,2024-01-22
258.bmp,A50,Stator fault,50,Component Replacement,Resolved,6321,3,2024-01-09,2024-01-12
259.bmp,A50,Stator fault,50,Component Replacement,Resolved,7238,2,2024-02-16,2024-02-18
260.bmp,A50,Stator fault,50,Component Replacement,Resolved,7348,3,2024-03-18,2024-03-21
261.bmp,A50,Stator fault,50,Component Replacement,Resolved,5069,2,2024-02-14,2024-02-16
262.bmp,A50,Stator fault,50,Component Replacement,Resolved,4796,1,2024-03-16,2024-03-17
263.bmp,A50,Stator fault,50,Component Replacement,Resolved,4812,3,2024-02-23,2024-02-26
264.bmp,A50,Stator fault,50,Component Replacement,Resolved,3806,3,2024-03-12,2024-03-15
265.bmp,A50,Stator fault,50,Component Replacement,Resolved,7220,1,2024-03-09,2024-03-10
266.bmp,A50,Stator fault,50,Component Replacement,Resolved,4909,1,2024-01-18,2024-01-19
267.bmp,A50,Stator fault,50,Component Replacement,Resolved,4997,1,2024-03-04,2024-03-05
268.bmp,A50,Stator fault,50,Component Replacement,Resolved,6506,3,2024-02-28,2024-03-02
269.bmp,A50,Stator fault,50,Component Replacement,Resolved,7951,1,2024-03-31,2024-04-01
270.bmp,A50,Stator fault,50,Component Replacement,Resolved,5304,3,2024-01-13,2024-01-16
271.bmp,A50,Stator fault,50,Component Replacement,Resolved,3666,2,2024-02-15,2024-02-17
272.bmp,A50,Stator fault,50,Component Replacement,Resolved,4926,2,2024-02-01,2024-02-03
273.bmp,A50,Stator fault,50,Component Replacement,Resolved,3465,2,2024-03-10,2024-03-12
